iris_id,hyderabad_dtf
IRIS_313_10007,89
IRIS_313_10025,73
IRIS_313_10542,80
IRIS_313_10544,80
IRIS_313_10549,87
IRIS_313_10558,80
IRIS_313_10559,84
IRIS_313_10561,79
IRIS_313_10567,80
IRIS_313_10568,75
IRIS_313_10569,69
IRIS_313_10570,80
IRIS_313_10580,86
IRIS_313_10587,89
IRIS_313_10592,83
IRIS_313_10598,82
IRIS_313_10602,88
IRIS_313_10603,82
IRIS_313_10606,88
IRIS_313_10618,75
IRIS_313_10631,85
IRIS_313_10642,73
IRIS_313_10651,79
IRIS_313_10656,86
IRIS_313_10659,82
IRIS_313_10660,83
IRIS_313_10662,85
IRIS_313_10675,87
IRIS_313_10677,82
IRIS_313_10681,84
IRIS_313_10708,84
IRIS_313_10716,87
IRIS_313_10719,86
IRIS_313_10721,87
IRIS_313_10729,86
IRIS_313_10734,89
IRIS_313_10736,75
IRIS_313_10737,82
IRIS_313_10748,84
IRIS_313_10795,65
IRIS_313_10796,65
IRIS_313_10834,75
IRIS_313_10835,88
IRIS_313_10836,87
IRIS_313_10837,88
IRIS_313_10838,85
IRIS_313_10839,73
IRIS_313_10845,88
IRIS_313_10847,89
IRIS_313_10848,82
IRIS_313_10849,83
IRIS_313_10875,83
IRIS_313_10878,89
IRIS_313_10884,81
IRIS_313_10887,84
IRIS_313_10900,89
IRIS_313_10920,125
IRIS_313_10921,80
IRIS_313_10924,85
IRIS_313_10925,87
IRIS_313_10926,82
IRIS_313_10927,85
IRIS_313_10928,82
IRIS_313_10930,82
IRIS_313_10932,83
IRIS_313_10963,88
IRIS_313_10966,82
IRIS_313_10967,86
IRIS_313_10968,86
IRIS_313_10969,88
IRIS_313_10976,87
IRIS_313_10980,82
IRIS_313_10981,84
IRIS_313_10990,87
IRIS_313_11014,83
IRIS_313_11015,86
IRIS_313_11017,80
IRIS_313_11018,83
IRIS_313_11019,85
IRIS_313_11028,87
IRIS_313_11029,83
IRIS_313_11033,87
IRIS_313_11034,87
IRIS_313_11041,87
IRIS_313_11047,85
IRIS_313_11049,82
IRIS_313_11053,89
IRIS_313_11055,89
IRIS_313_11057,88
IRIS_313_11059,86
IRIS_313_11060,88
IRIS_313_11061,85
IRIS_313_11072,86
IRIS_313_11073,89
IRIS_313_11080,81
IRIS_313_11089,87
IRIS_313_11092,79
IRIS_313_11093,89
IRIS_313_11095,88
IRIS_313_11106,110
IRIS_313_11111,84
IRIS_313_11120,88
IRIS_313_11127,105
IRIS_313_11133,88
IRIS_313_11143,86
IRIS_313_11149,123
IRIS_313_11153,86
IRIS_313_11154,84
IRIS_313_11163,89
IRIS_313_11165,81
IRIS_313_11166,84
IRIS_313_11167,82
IRIS_313_11168,87
IRIS_313_11170,86
IRIS_313_11171,79
IRIS_313_11172,84
IRIS_313_11173,89
IRIS_313_11176,88
IRIS_313_11189,83
IRIS_313_11192,85
IRIS_313_11195,81
IRIS_313_11202,84
IRIS_313_11213,83
IRIS_313_11214,84
IRIS_313_11230,109
IRIS_313_11246,77
IRIS_313_11265,81
IRIS_313_11274,89
IRIS_313_11275,85
IRIS_313_11279,87
IRIS_313_11281,86
IRIS_313_11303,81
IRIS_313_11304,85
IRIS_313_11322,83
IRIS_313_11324,84
IRIS_313_11328,125
IRIS_313_11336,122
IRIS_313_11338,89
IRIS_313_11345,83
IRIS_313_11347,83
IRIS_313_11348,87
IRIS_313_11354,83
IRIS_313_11371,85
IRIS_313_11373,88
IRIS_313_11380,122
IRIS_313_11410,88
IRIS_313_11411,80
IRIS_313_11413,65
IRIS_313_11416,86
IRIS_313_11427,75
IRIS_313_11446,88
IRIS_313_11449,85
IRIS_313_11452,81
IRIS_313_11454,85
IRIS_313_11455,79
IRIS_313_11456,87
IRIS_313_11458,80
IRIS_313_11460,83
IRIS_313_11462,86
IRIS_313_11463,79
IRIS_313_11476,81
IRIS_313_11477,82
IRIS_313_11478,85
IRIS_313_11481,87
IRIS_313_11482,89
IRIS_313_11483,85
IRIS_313_11484,84
IRIS_313_11487,86
IRIS_313_11489,80
IRIS_313_11492,89
IRIS_313_11493,107
IRIS_313_11508,81
IRIS_313_11521,77
IRIS_313_11522,80
IRIS_313_11530,82
IRIS_313_11545,89
IRIS_313_11547,83
IRIS_313_11554,122
IRIS_313_11557,87
IRIS_313_11568,85
IRIS_313_11570,89
IRIS_313_11571,71
IRIS_313_11574,77
IRIS_313_11576,83
IRIS_313_11577,85
IRIS_313_11578,75
IRIS_313_11584,79
IRIS_313_11586,80
IRIS_313_11594,83
IRIS_313_11596,88
IRIS_313_11597,81
IRIS_313_11598,84
IRIS_313_11600,75
IRIS_313_11615,123
IRIS_313_11620,83
IRIS_313_11622,89
IRIS_313_11623,86
IRIS_313_11624,83
IRIS_313_11628,84
IRIS_313_11630,82
IRIS_313_11632,80
IRIS_313_11636,89
IRIS_313_11642,86
IRIS_313_11644,89
IRIS_313_11645,82
IRIS_313_11648,87
IRIS_313_11652,73
IRIS_313_11653,86
IRIS_313_11654,82
IRIS_313_11655,81
IRIS_313_11665,88
IRIS_313_11666,85
IRIS_313_11668,71
IRIS_313_11669,85
IRIS_313_11671,82
IRIS_313_11672,80
IRIS_313_11677,82
IRIS_313_11678,85
IRIS_313_11680,80
IRIS_313_11688,82
IRIS_313_11689,69
IRIS_313_11690,88
IRIS_313_11691,111
IRIS_313_11694,87
IRIS_313_11707,93
IRIS_313_11712,84
IRIS_313_11719,89
IRIS_313_11725,82
IRIS_313_11727,85
IRIS_313_11728,81
IRIS_313_11729,85
IRIS_313_11730,85
IRIS_313_11732,79
IRIS_313_11735,88
IRIS_313_11738,83
IRIS_313_11742,86
IRIS_313_11743,79
IRIS_313_11744,81
IRIS_313_11747,87
IRIS_313_11748,73
IRIS_313_11751,75
IRIS_313_11752,85
IRIS_313_11753,79
IRIS_313_11763,87
IRIS_313_11786,85
IRIS_313_11790,122
IRIS_313_11809,88
IRIS_313_11817,85
IRIS_313_11824,87
IRIS_313_11829,81
IRIS_313_11831,84
IRIS_313_11835,82
IRIS_313_11837,79
IRIS_313_11839,84
IRIS_313_11853,89
IRIS_313_11856,83
IRIS_313_11857,81
IRIS_313_11859,89
IRIS_313_11862,84
IRIS_313_11871,82
IRIS_313_11872,83
IRIS_313_11875,84
IRIS_313_11876,81
IRIS_313_11877,79
IRIS_313_11878,87
IRIS_313_11881,80
IRIS_313_11884,82
IRIS_313_11885,85
IRIS_313_11888,87
IRIS_313_11894,80
IRIS_313_11899,79
IRIS_313_11908,88
IRIS_313_11909,89
IRIS_313_11915,82
IRIS_313_11917,85
IRIS_313_11918,81
IRIS_313_11919,81
IRIS_313_11922,87
IRIS_313_11926,85
IRIS_313_11927,85
IRIS_313_11932,89
IRIS_313_11937,89
IRIS_313_11943,81
IRIS_313_11944,83
IRIS_313_11947,82
IRIS_313_11950,89
IRIS_313_11952,84
IRIS_313_11956,82
IRIS_313_11963,80
IRIS_313_11967,82
IRIS_313_11968,84
IRIS_313_11974,87
IRIS_313_11981,73
IRIS_313_11985,81
IRIS_313_11986,88
IRIS_313_11992,88
IRIS_313_11997,82
IRIS_313_12003,73
IRIS_313_12007,80
IRIS_313_12013,84
IRIS_313_12050,73
IRIS_313_12052,89
IRIS_313_12054,83
IRIS_313_12057,82
IRIS_313_12059,81
IRIS_313_12060,82
IRIS_313_12063,82
IRIS_313_12065,87
IRIS_313_12093,81
IRIS_313_12096,75
IRIS_313_12129,88
IRIS_313_12130,88
IRIS_313_12131,80
IRIS_313_12138,81
IRIS_313_12139,88
IRIS_313_12186,82
IRIS_313_12188,85
IRIS_313_12190,78
IRIS_313_12193,89
IRIS_313_12194,88
IRIS_313_12210,81
IRIS_313_12217,82
IRIS_313_12222,80
IRIS_313_12224,87
IRIS_313_12227,88
IRIS_313_12231,83
IRIS_313_12249,80
IRIS_313_12252,89
IRIS_313_12254,84
IRIS_313_12257,81
IRIS_313_12261,83
IRIS_313_12262,88
IRIS_313_12266,82
IRIS_313_12275,79
IRIS_313_12289,85
IRIS_313_12300,80
IRIS_313_12305,89
IRIS_313_12307,83
IRIS_313_12309,89
IRIS_313_12312,89
IRIS_313_12330,89
IRIS_313_12334,87
IRIS_313_12336,107
IRIS_313_12345,88
IRIS_313_12347,83
IRIS_313_12350,107
IRIS_313_15902,105
IRIS_313_15905,89
IRIS_313_7690,75
IRIS_313_7736,86
IRIS_313_7769,82
IRIS_313_7778,80
IRIS_313_7850,82
IRIS_313_7922,85
IRIS_313_7933,83
IRIS_313_8011,75
IRIS_313_8023,84
IRIS_313_8024,75
IRIS_313_8025,81
IRIS_313_8027,86
IRIS_313_8029,84
IRIS_313_8031,73
IRIS_313_8032,75
IRIS_313_8033,75
IRIS_313_8037,82
IRIS_313_8039,71
IRIS_313_8048,69
IRIS_313_8049,82
IRIS_313_8052,79
IRIS_313_8053,79
IRIS_313_8057,85
IRIS_313_8060,89
IRIS_313_8061,80
IRIS_313_8062,87
IRIS_313_8063,89
IRIS_313_8073,81
IRIS_313_8084,80
IRIS_313_8085,70
IRIS_313_8087,80
IRIS_313_8090,86
IRIS_313_8095,82
IRIS_313_8096,82
IRIS_313_8097,81
IRIS_313_8099,77
IRIS_313_8109,79
IRIS_313_8112,81
IRIS_313_8113,84
IRIS_313_8114,82
IRIS_313_8115,88
IRIS_313_8116,80
IRIS_313_8118,83
IRIS_313_8119,71
IRIS_313_8121,83
IRIS_313_8123,88
IRIS_313_8124,75
IRIS_313_8125,77
IRIS_313_8127,73
IRIS_313_8128,75
IRIS_313_8129,80
IRIS_313_8134,79
IRIS_313_8135,65
IRIS_313_8136,82
IRIS_313_8137,82
IRIS_313_8138,80
IRIS_313_8139,79
IRIS_313_8140,73
IRIS_313_8142,82
IRIS_313_8143,84
IRIS_313_8145,79
IRIS_313_8147,81
IRIS_313_8148,71
IRIS_313_8149,77
IRIS_313_8151,79
IRIS_313_8154,77
IRIS_313_8158,83
IRIS_313_8159,82
IRIS_313_8160,86
IRIS_313_8161,87
IRIS_313_8162,79
IRIS_313_8164,69
IRIS_313_8165,70
IRIS_313_8167,80
IRIS_313_8168,81
IRIS_313_8170,84
IRIS_313_8173,82
IRIS_313_8177,81
IRIS_313_8180,85
IRIS_313_8183,83
IRIS_313_8184,77
IRIS_313_8185,86
IRIS_313_8192,89
IRIS_313_8195,82
IRIS_313_8200,77
IRIS_313_8204,75
IRIS_313_8205,86
IRIS_313_8214,80
IRIS_313_8216,77
IRIS_313_8217,83
IRIS_313_8252,83
IRIS_313_8256,80
IRIS_313_8265,80
IRIS_313_8283,85
IRIS_313_8292,86
IRIS_313_8302,83
IRIS_313_8303,89
IRIS_313_8305,81
IRIS_313_8321,75
IRIS_313_8326,69
IRIS_313_8332,75
IRIS_313_8339,83
IRIS_313_8341,80
IRIS_313_8383,73
IRIS_313_8385,73
IRIS_313_8386,83
IRIS_313_8400,73
IRIS_313_8405,79
IRIS_313_8409,85
IRIS_313_8410,86
IRIS_313_8433,81
IRIS_313_8434,82
IRIS_313_8444,73
IRIS_313_8453,81
IRIS_313_8486,73
IRIS_313_8502,80
IRIS_313_8509,88
IRIS_313_8519,81
IRIS_313_8530,88
IRIS_313_8559,82
IRIS_313_8565,82
IRIS_313_8568,75
IRIS_313_8580,77
IRIS_313_8599,82
IRIS_313_8631,80
IRIS_313_8637,77
IRIS_313_8645,75
IRIS_313_8647,85
IRIS_313_8660,81
IRIS_313_8665,81
IRIS_313_8697,81
IRIS_313_8703,81
IRIS_313_8713,110
IRIS_313_8727,86
IRIS_313_8731,81
IRIS_313_8743,84
IRIS_313_8757,84
IRIS_313_8771,88
IRIS_313_8796,81
IRIS_313_8814,75
IRIS_313_8815,77
IRIS_313_8856,81
IRIS_313_8857,75
IRIS_313_8859,77
IRIS_313_8864,80
IRIS_313_8865,127
IRIS_313_8880,87
IRIS_313_8889,80
IRIS_313_8890,83
IRIS_313_8895,78
IRIS_313_8914,81
IRIS_313_8921,75
IRIS_313_8923,82
IRIS_313_8924,85
IRIS_313_8925,87
IRIS_313_8927,80
IRIS_313_8946,77
IRIS_313_8960,127
IRIS_313_8963,81
IRIS_313_8967,86
IRIS_313_8988,81
IRIS_313_9002,81
IRIS_313_9039,130
IRIS_313_9048,77
IRIS_313_9081,69
IRIS_313_9120,89
IRIS_313_9140,81
IRIS_313_9182,80
IRIS_313_9184,76
IRIS_313_9193,78
IRIS_313_9204,84
IRIS_313_9233,73
IRIS_313_9243,82
IRIS_313_9253,75
IRIS_313_9271,89
IRIS_313_9285,77
IRIS_313_9317,84
IRIS_313_9351,75
IRIS_313_9366,77
IRIS_313_9368,85
IRIS_313_9384,86
IRIS_313_9403,79
IRIS_313_9404,76
IRIS_313_9422,82
